['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
128571,UST->KRT,863.3418489447139,-0.17880066018703633,2450.700000000002,2936446.392274388,9997063553.607725,20002450.7,347301.79648076073,2573.0437572942824
128572,UST->KRT,177.53298712122236,-0.14666788889908666,1111.000000000001,1331422.3937198434,9995982131.214005,20003061.7,347479.32946788194,2573.0437572942824
128833,KRT->UST,0.15988752284120944,0.13789299503585217,2147401,1787.1933309967822,10002147401,19998212.806669004,347479.32946788194,2573.2036448171234
129076,UST->KRT,18.7209199706574,-0.12865873271149114,360.8000000000003,432421.7033754076,9999567578.296625,20000360.8,347498.0503878526,2573.2036448171234
129816,UST->KRT,111.25244490305951,-0.14110792480312753,879.6000000000008,1054141.9755115053,9998945858.024488,20000879.6,347609.30283275567,2573.2036448171234
131560,KRT->UST,0.7471650036083748,0.1586797841954935,4642501,3863.3601154160538,10004642501,19996136.639884584,347609.30283275567,2573.9508098207316
131564,KRT->UST,0.31604398726176014,0.14515763211611785,3019001,2512.4987049130796,10006661502,19995624.14117967,347609.30283275567,2574.2668538079934
131565,KRT->UST,0.3166743377594116,0.14518397531873659,3021901,2514.911831445419,10009433403,19993609.229348224,347609.30283275567,2574.5835281457526
132365,KRT->UST,0.020597901585407467,0.1264222503160433,770701,641.4595086889651,10000770701,19999358.540491313,347609.30283275567,2574.604126047338
132366,KRT->UST,7.70490471571432,0.24421128798842673,14914501,12406.11738221892,10015435202,19987452.423109096,347609.30283275567,2582.3090307630523
132660,KRT->UST,0.5290652677358646,0.15254845656854074,3906401,3250.8979918693703,10003906401,19996749.10200813,347609.30283275567,2582.838096030788
132719,UST->KRT,343.0110506678024,-0.15706336384850117,1544.6000000000013,1850952.286027515,9998149047.713972,20001544.6,347952.31388342346,2582.838096030788
132762,KRT->UST,0.011002810358902864,0.12469383210866987,563301,468.8431816191222,10000563301,19999531.156818382,347952.31388342346,2582.849098841147
133275,KRT->UST,0.4073944827715928,0.1485616530860184,3427901,2852.748320278121,10003427901,19997147.251679722,347952.31388342346,2583.2564933239187
133425,KRT->UST,0.0010529253020245218,0.12145202644956471,174201,144.99224532749514,10000174201,19999855.007754672,347952.31388342346,2583.257546249221
134097,KRT->UST,4.265377346192374,0.2124175775545507,11095201,9230.6331809173,10011095201,19990769.366819084,347952.31388342346,2587.5229235954134
